value,coin00,coin01,coin02,coin03,coin04
3,10,10,12,8,8
12,4,9,10,6,9
11,8,6,9,6,8
5,7,4,9,5,4
12,9,4,8,8,3
4,8,8,7,6,8
12,5,9,6,10,2
16,5,4,3,2,5
9,10,10,11,6,4
10,11,9,10,3,6
10,6,3,5,5,5
7,5,1,8,6,8
5,6,2,3,3,5
9,14,2,10,6,6
17,10,11,13,6,4
18,11,9,7,7,2
20,8,9,6,3,3
16,9,17,12,9,7
11,5,7,8,6,4
5,6,1,13,7,6
12,5,5,11,5,6
7,9,5,8,6,6
10,2,0,10,2,2
13,10,0,12,2,4
4,4,0,12,6,4
15,3,0,13,6,8
19,10,0,7,7,2
17,9,0,5,6,6
14,10,0,6,6,4
17,6,0,9,3,5
12,4,0,7,5,4
5,11,0,10,6,3
13,10,0,7,7,3
18,8,0,8,2,7
8,5,0,10,6,0
6,11,0,11,7,0
18,5,0,10,2,0
9,3,0,11,6,0
19,10,0,7,2,0
6,8,0,7,3,0
8,5,0,3,6,0
13,8,0,9,2,0
19,9,0,5,3,0
10,2,0,3,6,0
5,3,0,10,3,0
6,3,0,6,3,0
16,4,0,11,4,0
3,10,0,9,6,0
5,6,0,12,6,0
16,10,0,6,5,0
14,10,0,12,6,0
3,9,0,8,2,0
6,5,0,9,3,0
5,6,0,5,6,0
13,11,0,8,7,0
4,3,0,12,5,0
16,3,0,12,10,0
11,11,0,10,6,0
16,4,0,9,4,0
14,7,0,8,3,0
14,3,0,9,6,0
12,2,0,12,2,0
11,8,0,3,5,0
11,8,0,5,6,0
19,6,0,9,6,0
5,5,0,11,4,0
16,9,0,9,6,0
11,9,0,10,6,0
14,9,0,12,4,0
9,3,0,4,2,0
5,10,0,11,6,0
13,8,0,12,4,0
